HYBAS_ID_08,PFAF_ID_07,s_T300,s_T400,s_T500,s_T600,s_T700,s_T800,s_ELEVDEF,s_AREA50
1080099860,1518090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
1080101860,1518090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
1080101910,1518090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
1080102710,1518090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
1080102700,1518090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
1080105960,1518090,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
1080106060,1518090,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
1080107520,1518090,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
1080107530,1518090,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080434610,2234096,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080434520,2234096,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080434430,2234096,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080431060,2234096,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080431050,2234096,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080428470,2234096,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080428370,2234096,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080426510,2234096,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080426790,2234096,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Upstream,Downstream
2080390940,2239700,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080386580,2239700,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080386860,2239700,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080384020,2239700,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080384030,2239700,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080378770,2239700,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080378980,2239700,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080370390,2239700,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080370600,2239700,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080529010,2240082,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080529090,2240082,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080529100,2240082,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080534670,2240082,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080534680,2240082,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080537370,2240082,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Downstream
2080537450,2240082,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080541420,2240082,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080541500,2240082,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
2080420200,2251409,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080420430,2251409,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080420500,2251409,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080418650,2251409,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080418750,2251409,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream,Downstream
2080416260,2251409,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream,Upstream
