PFAF_ID_07,n_children,delta_E_m,relief_class,n_outlets,parent_components,has_cycle,axis_T300,f_up_area_T300,valid_T300,invalid_reason_T300,n_up_T300,n_down_T300,up_components_T300,down_components_T300,cut_edges_T300,reverse_edges_T300,axis_T400,f_up_area_T400,valid_T400,invalid_reason_T400,n_up_T400,n_down_T400,up_components_T400,down_components_T400,cut_edges_T400,reverse_edges_T400,axis_T500,f_up_area_T500,valid_T500,invalid_reason_T500,n_up_T500,n_down_T500,up_components_T500,down_components_T500,cut_edges_T500,reverse_edges_T500,axis_T600,f_up_area_T600,valid_T600,invalid_reason_T600,n_up_T600,n_down_T600,up_components_T600,down_components_T600,cut_edges_T600,reverse_edges_T600,axis_T700,f_up_area_T700,valid_T700,invalid_reason_T700,n_up_T700,n_down_T700,up_components_T700,down_components_T700,cut_edges_T700,reverse_edges_T700,axis_T800,f_up_area_T800,valid_T800,invalid_reason_T800,n_up_T800,n_down_T800,up_components_T800,down_components_T800,cut_edges_T800,reverse_edges_T800,axis_ELEVDEF,f_up_area_ELEVDEF,valid_ELEVDEF,invalid_reason_ELEVDEF,n_up_ELEVDEF,n_down_ELEVDEF,up_components_ELEVDEF,down_components_ELEVDEF,cut_edges_ELEVDEF,reverse_edges_ELEVDEF,axis_AREA50,f_up_area_AREA50,valid_AREA50,invalid_reason_AREA50,n_up_AREA50,n_down_AREA50,up_components_AREA50,down_components_AREA50,cut_edges_AREA50,reverse_edges_AREA50,common_valid_T300_T800,n_cells_changed_any_threshold,all_cell_labels_invariant,status_T600,review_priority,review_class
1518090,9,1205.7,high,1,1,False,elevation,0.493,True,OK,3,6,1,1,1,0,elevation,0.493,True,OK,3,6,1,1,1,0,elevation,0.493,True,OK,3,6,1,1,1,0,elevation,0.493,True,OK,3,6,1,1,1,0,elevation,0.493,True,OK,3,6,1,1,1,0,elevation,0.493,True,OK,3,6,1,1,1,0,elevdef,0.493,True,OK,3,6,1,1,1,0,area50,0.493,True,OK,3,6,1,1,1,0,True,0,True,valid_T600,3,stable
2140409,9,607.7,high,1,1,False,elevation,0.511,True,OK,5,4,1,1,1,0,elevation,0.511,True,OK,5,4,1,1,1,0,elevation,0.511,True,OK,5,4,1,1,1,0,elevation,0.511,True,OK,5,4,1,1,1,0,topology_pfaf,0.511,True,OK,5,4,1,1,1,0,topology_pfaf,0.511,True,OK,5,4,1,1,1,0,elevdef,0.511,True,OK,5,4,1,1,1,0,area50,0.511,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
2140640,9,1697.2,high,1,1,False,elevation,0.602,True,OK,5,4,1,1,1,0,elevation,0.602,True,OK,5,4,1,1,1,0,elevation,0.602,True,OK,5,4,1,1,1,0,elevation,0.602,True,OK,5,4,1,1,1,0,elevation,0.602,True,OK,5,4,1,1,1,0,elevation,0.602,True,OK,5,4,1,1,1,0,elevdef,0.602,True,OK,5,4,1,1,1,0,area50,0.5,True,OK,3,6,1,1,1,0,True,0,True,valid_T600,3,stable
2160104,9,928.0,high,1,1,False,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevation,0.657,True,OK,5,4,1,1,1,0,elevdef,0.657,True,OK,5,4,1,1,1,0,area50,0.385,True,OK,3,6,1,1,1,0,True,0,True,valid_T600,3,stable
2160225,9,497.4,mixed,1,1,False,elevation,0.585,True,OK,5,4,1,1,1,0,elevation,0.585,True,OK,5,4,1,1,1,0,topology_pfaf,0.585,True,OK,5,4,1,1,1,0,topology_pfaf,0.585,True,OK,5,4,1,1,1,0,topology_pfaf,0.585,True,OK,5,4,1,1,1,0,topology_pfaf,0.585,True,OK,5,4,1,1,1,0,elevdef,0.585,True,OK,5,4,1,1,1,0,area50,0.585,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
2160244,9,1011.8,high,1,1,False,elevation,0.584,True,OK,7,2,1,1,1,0,elevation,0.584,True,OK,7,2,1,1,1,0,elevation,0.584,True,OK,7,2,1,1,1,0,elevation,0.584,True,OK,7,2,1,1,1,0,elevation,0.584,True,OK,7,2,1,1,1,0,elevation,0.584,True,OK,7,2,1,1,1,0,elevdef,0.584,True,OK,7,2,1,1,1,0,area50,0.443,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
2160267,9,1626.6,high,1,1,False,elevation,0.324,True,OK,5,4,1,1,1,0,elevation,0.324,True,OK,5,4,1,1,1,0,elevation,0.324,True,OK,5,4,1,1,1,0,elevation,0.324,True,OK,5,4,1,1,1,0,elevation,0.324,True,OK,5,4,1,1,1,0,elevation,0.324,True,OK,5,4,1,1,1,0,elevdef,0.324,True,OK,5,4,1,1,1,0,area50,0.324,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
2160340,9,607.5,high,1,1,False,elevation,0.546,True,OK,3,6,1,1,1,0,elevation,0.546,True,OK,3,6,1,1,1,0,elevation,0.546,True,OK,3,6,1,1,1,0,elevation,0.546,True,OK,3,6,1,1,1,0,topology_pfaf,0.546,True,OK,3,6,1,1,1,0,topology_pfaf,0.546,True,OK,3,6,1,1,1,0,elevdef,0.546,True,OK,3,6,1,1,1,0,area50,0.546,True,OK,3,6,1,1,1,0,True,0,True,valid_T600,3,stable
2160422,9,1118.8,high,1,1,False,elevation,0.904,True,OK,7,2,1,1,1,0,elevation,0.904,True,OK,7,2,1,1,1,0,elevation,0.904,True,OK,7,2,1,1,1,0,elevation,0.904,True,OK,7,2,1,1,1,0,elevation,0.904,True,OK,7,2,1,1,1,0,elevation,0.904,True,OK,7,2,1,1,1,0,elevdef,0.904,True,OK,7,2,1,1,1,0,area50,0.549,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
2160428,9,1148.2,high,1,1,False,elevation,0.769,True,OK,7,2,1,1,1,0,elevation,0.769,True,OK,7,2,1,1,1,0,elevation,0.769,True,OK,7,2,1,1,1,0,elevation,0.769,True,OK,7,2,1,1,1,0,elevation,0.769,True,OK,7,2,1,1,1,0,elevation,0.769,True,OK,7,2,1,1,1,0,elevdef,0.769,True,OK,7,2,1,1,1,0,area50,0.555,True,OK,5,4,1,1,1,0,True,0,True,valid_T600,3,stable
