PFAF_ID_07,n_children,delta_E_m,axis,relief_class,f_up_area,multi_outlet,split_degenerate
1518090,9,1205.7,elevation,high,0.493,False,False
2234096,9,42.5,topology_pfaf,low,0.517,False,False
2239700,9,46.1,topology_pfaf,low,0.578,False,False
2240082,9,267.1,topology_pfaf,low,0.772,False,False
2251409,9,47.9,topology_pfaf,low,0.449,False,False
2254502,9,63.0,topology_pfaf,low,0.388,False,False
2254404,9,20.8,topology_pfaf,low,0.255,False,False
2259020,9,49.8,topology_pfaf,low,0.35,False,False
2256060,9,30.3,topology_pfaf,low,0.446,False,False
2252060,9,26.8,topology_pfaf,low,0.609,False,False
2256090,9,25.0,topology_pfaf,low,0.734,False,False
2260635,9,68.8,topology_pfaf,low,0.477,False,False
2260640,9,67.3,topology_pfaf,low,0.275,False,False
2272040,9,139.9,topology_pfaf,low,0.361,False,False
2273208,7,932.8,elevation,high,0.797,False,False
2271088,9,425.6,topology_pfaf,mixed,0.762,False,False
2273908,9,631.8,elevation,high,0.58,False,False
2276404,9,204.2,topology_pfaf,low,0.676,False,False
2276504,9,137.2,topology_pfaf,low,0.372,False,False
2279144,9,161.4,topology_pfaf,low,0.541,False,False
2276406,9,429.5,topology_pfaf,mixed,0.399,False,False
2279146,9,53.7,topology_pfaf,low,0.197,False,False
2278050,9,635.7,elevation,high,0.512,False,False
2274029,9,525.6,topology_pfaf,mixed,0.484,False,False
2279149,9,50.0,topology_pfaf,low,0.821,False,False
2276250,9,463.8,topology_pfaf,mixed,0.635,False,False
2279160,9,219.1,topology_pfaf,low,0.694,False,False
2279180,9,582.2,topology_pfaf,mixed,0.365,False,False
2276604,9,323.7,topology_pfaf,mixed,0.274,False,False
2279205,9,237.9,topology_pfaf,low,0.344,False,False
2276804,9,367.6,topology_pfaf,mixed,0.827,False,False
2279402,9,545.8,topology_pfaf,mixed,0.621,False,False
2278049,9,641.4,elevation,high,0.527,False,False
2279701,9,324.4,topology_pfaf,mixed,0.391,False,False
2276923,9,601.6,elevation,high,0.413,False,False
2278090,9,997.0,elevation,high,0.439,False,False
2279604,9,222.5,topology_pfaf,low,0.562,False,False
2274099,9,772.0,elevation,high,0.539,False,False
2279606,8,137.8,topology_pfaf,low,0.577,False,False
2279703,9,305.6,topology_pfaf,mixed,0.463,False,False
2276970,9,151.6,topology_pfaf,low,0.567,False,False
2279706,9,843.1,elevation,high,0.516,False,False
2279709,9,358.7,topology_pfaf,mixed,0.555,False,False
2279708,9,727.1,elevation,high,0.662,False,False
2279910,9,236.8,topology_pfaf,low,0.661,False,False
2279930,9,149.5,topology_pfaf,low,0.832,False,False
2279804,9,1199.4,elevation,high,0.58,False,False
2279807,9,611.2,elevation,high,0.643,False,False
2279924,9,261.8,topology_pfaf,low,0.538,False,False
2279960,9,15.9,topology_pfaf,low,0.787,False,False
2279809,9,1003.7,elevation,high,0.579,False,False
2279980,9,1076.1,elevation,high,0.576,False,False
2279999,9,208.9,topology_pfaf,low,0.393,False,False
2140409,9,607.7,elevation,high,0.511,False,False
2140640,9,1697.2,elevation,high,0.602,False,False
2160104,9,928.0,elevation,high,0.657,False,False
2160225,9,497.4,topology_pfaf,mixed,0.585,False,False
2160244,9,1011.8,elevation,high,0.584,False,False
2160267,9,1626.6,elevation,high,0.324,False,False
2160340,9,607.5,elevation,high,0.546,False,False
2160422,9,1118.8,elevation,high,0.904,False,False
2160428,9,1148.2,elevation,high,0.769,False,False
2160508,10,1092.6,elevation,high,0.63,False,False
2321449,9,1222.1,elevation,high,0.821,False,False
2321426,9,406.5,topology_pfaf,mixed,0.409,False,False
2322907,9,367.5,topology_pfaf,mixed,0.368,False,False
2322809,9,561.2,topology_pfaf,mixed,0.345,False,False
2326201,9,131.7,topology_pfaf,low,0.467,False,False
2326302,9,165.1,topology_pfaf,low,0.445,False,False
2326701,9,203.4,topology_pfaf,low,0.125,False,False
2326406,9,109.5,topology_pfaf,low,0.383,False,False
2326706,9,420.7,topology_pfaf,mixed,0.596,False,False
2326609,9,254.4,topology_pfaf,low,0.353,False,False
2326408,9,171.1,topology_pfaf,low,0.63,False,False
2326409,9,135.1,topology_pfaf,low,0.748,False,False
2326804,9,1201.0,elevation,high,0.511,False,False
2326905,9,382.7,topology_pfaf,mixed,0.444,False,False
2326809,9,1402.2,elevation,high,0.419,False,False
2327066,9,196.9,topology_pfaf,low,0.488,False,False
2327068,9,195.1,topology_pfaf,low,0.126,False,False
2327069,9,196.0,topology_pfaf,low,0.42,False,False
2328502,9,401.8,topology_pfaf,mixed,0.416,False,False
2328209,9,135.5,topology_pfaf,low,0.681,False,False
2328505,9,286.8,topology_pfaf,low,0.415,False,False
2328404,9,357.2,topology_pfaf,mixed,0.286,False,False
2328406,9,144.9,topology_pfaf,low,0.543,False,False
2328409,9,279.2,topology_pfaf,low,0.735,False,False
2328508,9,325.4,topology_pfaf,mixed,0.642,False,False
2328800,9,147.5,topology_pfaf,low,0.627,False,False
2328902,9,144.1,topology_pfaf,low,0.66,False,False
2328904,9,232.6,topology_pfaf,low,0.514,False,False
2328906,9,121.1,topology_pfaf,low,0.207,False,False
2410039,8,27.2,topology_pfaf,low,0.169,True,False
2422220,9,343.0,topology_pfaf,mixed,0.209,False,False
2422240,9,347.5,topology_pfaf,mixed,0.541,False,False
2422404,9,45.4,topology_pfaf,low,0.517,False,False
2422704,9,22.7,topology_pfaf,low,0.555,False,False
2422800,9,78.8,topology_pfaf,low,0.48,False,False
2424930,9,44.6,topology_pfaf,low,0.239,False,False
2424806,9,20.6,topology_pfaf,low,0.582,False,False
2424809,9,32.9,topology_pfaf,low,0.358,False,False
2424429,9,108.2,topology_pfaf,low,0.296,False,False
2424445,9,57.8,topology_pfaf,low,0.705,False,False
2424466,9,279.5,topology_pfaf,low,0.435,False,False
