PFAF_ID_07,status_T600,invalid_reason_T600,n_children,n_outlets,n_up_T600,n_down_T600,up_components_T600,down_components_T600
2276404,invalid_other,visual_inverted,9,1,1,8,1,1
2279402,invalid_other,visual_inverted,9,1,1,8,1,1
2327066,invalid_other,visual_inverted,9,1,1,8,1,1
2410003,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2410039,invalid_multi_outlet,outlets=8; parent_components=8; down_components=7; up_to_down_edges=0,8,8,1,7,1,7
2429000,invalid_multi_outlet,outlets=2; parent_components=2; up_to_down_edges=0,2,2,1,1,1,1
2429507,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2435109,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2443300,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2445090,invalid_multi_outlet,outlets=7; parent_components=7; down_components=6; up_to_down_edges=0,7,7,1,6,1,6
2447300,invalid_multi_outlet,outlets=8; parent_components=8; down_components=7; up_to_down_edges=0,8,8,1,7,1,7
2449000,invalid_multi_outlet,outlets=8; parent_components=8; down_components=7; up_to_down_edges=0,8,8,1,7,1,7
2510300,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2510500,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2510757,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2510759,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2510799,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2510970,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2510997,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2510999,invalid_multi_outlet,outlets=8; parent_components=8; down_components=7; up_to_down_edges=0,8,8,1,7,1,7
2521051,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2521070,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2615030,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2710350,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2710510,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2710550,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2710570,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2710590,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
2832444,invalid_other,visual_inverted,9,1,1,8,1,1
2837040,invalid_one_sided,empty_downstream; down_components=0; up_to_down_edges=0,5,1,5,0,1,0
2847007,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
4120011,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
4120013,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
4120015,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
4120019,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
4130139,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7122470,invalid_one_sided,empty_downstream; down_components=0; up_to_down_edges=0,5,1,5,0,1,0
7124001,invalid_multi_outlet,outlets=2; parent_components=2; down_components=2,10,2,3,7,1,2
7124007,invalid_multi_outlet,outlets=8; parent_components=8; down_components=7; up_to_down_edges=0,8,8,1,7,1,7
7124200,invalid_multi_outlet,outlets=6; parent_components=6; down_components=5; up_to_down_edges=0,6,6,1,5,1,5
7138300,invalid_one_sided,empty_downstream; down_components=0; up_to_down_edges=0,5,1,5,0,1,0
7230100,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7230303,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7230309,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7230500,invalid_multi_outlet,outlets=7; parent_components=7; down_components=6; up_to_down_edges=0,7,7,1,6,1,6
7230710,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7230755,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7230909,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7240900,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7254710,invalid_one_sided,empty_downstream; down_components=0; up_to_down_edges=0,5,1,5,0,1,0
7255602,invalid_one_sided,empty_downstream; down_components=0; up_to_down_edges=0,5,1,5,0,1,0
7260003,invalid_multi_outlet,outlets=8; parent_components=8; down_components=7; up_to_down_edges=0,8,8,1,7,1,7
7260130,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7260171,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7260501,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7260713,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7260730,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7311107,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7311300,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7311500,invalid_multi_outlet,outlets=5; parent_components=5; down_components=4; up_to_down_edges=0,5,5,1,4,1,4
7311700,invalid_multi_outlet,outlets=7; parent_components=7; down_components=6; up_to_down_edges=0,7,7,1,6,1,6
7313000,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7429898,invalid_one_sided,empty_downstream; down_components=0; up_to_down_edges=0,3,1,3,0,1,0
7735030,invalid_multi_outlet,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,4,4,1,3,1,3
7735080,invalid_multi_outlet,outlets=3; parent_components=3; down_components=2; up_to_down_edges=0,3,3,1,2,1,2
7736030,invalid_multi_outlet,outlets=2; parent_components=2; down_components=2,10,2,3,7,1,2
7737030,invalid_multi_outlet,outlets=4; parent_components=4; down_components=3; up_to_down_edges=0,4,4,1,3,1,3
7747000,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7822006,invalid_one_sided,empty_downstream; down_components=0; up_to_down_edges=0,9,1,9,0,1,0
7833505,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
7834070,invalid_one_sided,empty_downstream; down_components=0; up_to_down_edges=0,5,1,5,0,1,0
7839050,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
8113017,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
8113050,invalid_multi_outlet,outlets=9; parent_components=9; down_components=8; up_to_down_edges=0,9,9,1,8,1,8
